Czy wykonywal zadanie;Eeg Power Delta;Eeg Power Theta;Eeg Power Low Alpha;Eeg Power High Alpha;Eeg Power Low Beta;Eeg Power High Beta;Eeg Power Low Gamma;Eeg Power High Gamma;Attention Level;Meditation Level
1;1831006;55363;56133;31185;5695;18855;1032;1821;47;66
1;995818;118962;68475;76499;69777;49469;22033;13206;53;64
1;1649054;573136;277367;65634;173424;126881;26799;24993;66;66
1;1066098;72914;55243;17446;6281;10659;9299;24595;57;80
1;901570;188929;115385;96111;63127;84249;8038;9441;70;90
1;889853;196784;14059;24130;15919;6660;1274;1002;53;74
1;1552419;55581;52454;35918;15579;17092;1901;1143;53;74
1;635915;21882;12607;5596;4420;10022;1128;579;57;75
1;226027;669761;38219;13810;33990;45826;11879;9451;56;43
1;1188348;235563;23272;41066;166919;36489;4596;2416;56;43
1;136297;8275;1332;3385;3426;685;480;77;56;43
1;759544;102895;30729;26663;23340;13351;3440;1447;48;38
1;242010;184048;48617;20988;31511;25746;6147;2724;48;38
1;1927066;83203;4814;43175;13653;48712;10004;1070;48;38
1;1462615;107740;11735;13735;28394;25966;5626;3866;48;38
1;967755;226222;36379;23645;21587;22186;6476;3505;48;38
1;561602;44846;17831;11332;12411;34476;6471;2046;48;38
1;942740;43539;17426;27704;27959;8808;5847;2297;61;53
1;406866;53638;45623;10478;6936;6064;1167;584;47;60
1;1576462;92610;54724;63228;39657;32366;11859;3965;54;88
1;636528;155012;16515;33991;32513;68017;9761;1208;54;88
1;2120307;457656;67366;185288;39956;79009;12347;3866;57;90
1;490081;75316;64160;21689;28531;28626;4408;1027;63;90
1;1703565;213580;22211;21565;9107;9285;3952;3033;63;90
1;1992122;482893;94920;46010;26140;27923;8733;8966;61;75
1;919266;130625;51311;63202;46296;13584;13670;6660;51;74
1;399916;169701;64201;53673;36689;38642;15218;5944;53;75
1;389208;154221;31361;13941;15956;62068;7201;5073;53;75
1;426865;34221;7257;37904;37929;18704;2988;2192;53;75
1;2142390;53822;50908;122951;50226;44771;6279;8204;53;83
1;1362752;137319;25780;23784;7666;11903;4685;2677;56;87
1;1528627;632382;28053;62375;72634;57250;43171;13156;60;66
1;1721711;123342;18360;21731;14770;16002;25653;11461;56;57
1;378104;70763;7641;55096;45499;20342;9145;3991;53;47
1;317069;194277;67079;31055;32676;55343;6034;6936;53;47
1;453297;40568;13405;16603;6309;8260;2148;597;53;47
1;1579942;43221;72941;11594;16409;38463;6727;1645;53;47
1;2693888;224568;197607;38093;90805;29953;12922;8353;53;47
1;732124;117573;54697;26865;64909;27918;3320;2602;61;48
1;579013;26906;84924;27107;20616;36847;12501;3514;74;78
1;1762330;410871;37987;179630;44226;48324;23909;11969;74;78
1;30661;37501;10002;3296;14009;10648;1518;372;80;75
1;128096;142038;99306;34996;5101;8527;7803;2543;64;83
1;196862;62046;13191;28196;4641;11664;5973;10011;63;88
1;1265408;89897;13142;16414;33884;10036;5525;4170;53;64
1;537105;32454;7085;11384;42080;9329;2689;1001;53;64
1;670731;21062;29039;28984;7185;8309;16238;9868;47;90
1;106588;48235;10465;13559;11901;11496;28455;3521;63;77
1;1586742;344464;15429;11456;10603;11502;2100;2460;50;51
1;854210;378229;44387;46459;131960;17790;28886;4328;43;47
1;968471;1156445;52054;12413;37970;57870;16872;2711;35;4
1;313232;14323;16576;14130;16526;17554;1182;685;35;4
1;1277832;12772;13901;14463;10788;1697;787;281;21;20
1;1070003;67711;24174;53532;70341;70031;19366;5063;48;40
1;598632;55327;28052;29055;6321;13437;29478;6397;60;56
1;226462;22993;23021;2879;11254;6742;3952;1682;69;87
1;349144;20072;8137;3273;11274;3423;3026;806;80;70
1;868838;109336;44800;7888;5353;31950;1794;782;70;70
1;1119949;288618;7589;59922;11549;42744;4227;879;70;56
1;1585362;905103;47976;26627;116428;49323;18681;13464;61;29
1;112759;293648;48693;15285;38686;49914;5006;3521;64;23
1;620618;32633;16633;42194;99879;101952;3509;1870;64;23
1;1134353;46955;11524;7553;9581;7402;3865;611;57;21
1;130377;45219;10049;7484;6297;3820;12174;1526;50;26
1;22694;31972;3950;6130;6184;19357;16084;3314;70;37
1;479009;230303;34418;20547;135765;50610;7834;2997;74;34
1;755366;98144;15517;12098;25125;5669;11298;1683;64;27
1;651368;305440;45489;13584;33932;30405;17933;3507;67;20
1;14106;26132;22207;8803;9355;8145;54640;3665;56;40
1;148931;195189;39836;42871;48604;34563;45297;6475;53;48
1;706479;92883;21546;9346;30978;35582;8259;1057;70;48
1;1382092;103279;12408;17993;7642;21789;3009;1131;77;51
1;139906;2171;2998;2181;617;515;386;77;69;61
1;830700;170778;51713;103350;125058;162565;16437;5862;83;63
1;1133023;63318;25102;36249;25730;13183;53973;4198;74;77
1;476562;94574;17212;50923;64278;9232;32532;5111;64;84
1;1261217;437699;134983;96231;40078;19948;46697;6857;56;67
1;1153842;354766;7030;34913;35462;18207;9995;3832;34;54
1;731423;112225;10884;19515;10239;15476;6166;1839;35;41
1;620040;156989;61510;40526;6382;17096;38424;4431;35;44
1;1687729;486662;313678;177939;299799;172870;12500;6137;53;47
1;1310897;24417;9450;2247;1623;5514;2204;665;53;47
1;510246;39626;30446;16667;15789;7637;2755;1533;53;47
1;2023282;74775;106883;85306;114947;43955;15953;6491;64;69
1;1487989;695000;146588;144349;50012;25173;17779;26388;50;78
1;1355737;85534;62885;34082;47390;42982;15463;6739;61;78
1;678560;502230;202850;184195;186093;95311;81371;9656;56;77
1;2484374;49397;25762;25459;35626;26369;10206;1186;56;77
1;760387;14606;4817;7219;2354;4052;2888;794;56;74
1;1276210;159119;16375;29467;28046;27529;13310;5844;74;64
1;265605;4662;2777;3370;2149;1597;1249;89;67;67
1;817955;105418;14690;7946;7949;9199;5989;1177;64;56
1;447782;342999;21800;16035;26654;14654;42458;7001;51;38
1;1045520;187229;50031;100362;43579;14752;12268;2614;41;51
1;637727;24685;19603;18196;14664;11022;2866;947;41;51
1;1230209;29583;12621;5915;3268;2935;1041;667;41;64
1;560614;252459;32582;9717;18991;7277;14838;4693;37;67
1;950608;453752;76802;61669;33823;63429;30161;10058;44;56
1;2114348;89181;94171;18771;33795;41997;11545;2075;48;54
1;2086505;127705;29515;15324;18529;16433;3905;1110;53;47
1;627871;111760;20337;40592;24495;20146;3197;4784;66;57
1;396963;28538;13489;5823;9154;4356;1767;464;66;57
1;1265677;48686;20761;17683;11662;12795;3659;1016;69;66
1;91652;58141;1571;3306;4478;3981;4335;1759;57;40
1;232103;23611;4885;1242;2200;5154;2469;976;63;35
1;548074;56978;9120;10397;4827;4225;13651;5971;56;30
1;1562104;320965;95191;73216;76647;57003;45667;24208;54;26
1;540552;10488;10435;12372;9206;3319;4174;1110;54;26
1;1648826;398289;209577;35912;25180;14970;9972;3332;44;51
1;617736;25324;5617;3889;3390;1192;1159;119;44;51
1;733686;89566;14109;18024;13788;14962;1787;507;44;51
1;142364;35510;2127;24492;25470;14235;3350;1444;47;57
1;1253595;28409;65898;24567;28253;31126;4869;3195;47;57
1;2836704;36932;17571;22620;11649;6010;11791;2582;50;69
1;640123;66362;20301;5542;2072;13295;24598;2141;51;67
1;224454;31527;15484;5249;2889;6406;2984;1682;66;67
1;543394;101360;9491;8579;30191;16724;12249;1966;63;56
1;2239264;156713;108384;68945;30595;31785;41903;15083;66;56
1;170119;7503;5916;4326;2696;785;790;606;54;69
1;1277504;35611;5059;16001;5529;9167;8241;1866;57;67
1;700843;23985;543;8853;3438;5045;5028;811;56;80
1;83036;30201;2037;3756;1658;1502;3635;627;48;60
1;682092;145318;9979;4252;3710;4463;1766;398;44;30
1;87904;79672;10474;22725;4593;7553;2356;642;37;29
1;1153200;217553;68524;66534;12907;16205;16529;3306;26;37
1;1728465;125375;157442;10540;25797;16331;6592;3974;29;60
1;235151;100685;15532;2502;2074;5964;9438;4045;35;66
1;843379;112562;101742;85557;25857;29400;24343;7227;38;78
1;1008936;45229;16423;2124;8157;2954;8936;892;37;74
1;781969;205516;11147;1772;6297;7724;12880;2815;34;40
1;853710;141316;9684;3216;972;16219;4486;2967;40;30
1;1006113;337058;34033;9671;7953;49971;65624;7061;43;3
1;1068840;193804;149720;87193;113168;152743;44780;9805;43;3
1;9;5;1;1;1;1;1;1;43;3
1;25;14;4;1;0;1;0;0;43;3
1;613547;99163;45308;20395;23487;19509;12656;2475;43;3
1;1734818;17686;6516;4054;4714;4237;2539;1021;43;3
1;684433;21375;22258;9946;13170;6191;2122;1540;53;13
1;1514410;139645;47013;11480;13509;36447;2271;3638;53;13
1;260405;42282;13827;7287;5550;4925;4667;2727;60;38
1;1339255;74018;94946;22581;12621;18190;29600;8876;57;69
1;933711;68613;15690;10695;11450;18819;11578;12410;63;80
1;2178949;79564;45841;37442;25594;42221;61723;29108;70;77
1;36158;22065;14556;14119;10640;64047;24427;5567;93;74
1;2089300;162489;88176;10415;16967;39571;41103;9864;93;61
1;743736;21250;14602;12040;2434;16315;7492;3413;94;74
1;1132699;423544;14063;21885;21038;50614;63481;15236;83;48
1;1423176;1010250;139616;23915;43131;57697;63708;19363;56;37
1;870666;911977;58326;16068;30363;14095;79051;6818;35;16
1;1108940;15627;7848;14813;7128;14629;14323;6060;37;14
1;514282;605235;24761;25350;21603;35154;32568;14022;29;14
1;732180;79401;57287;9728;28363;20131;6493;2191;38;30
1;1344360;184718;47129;13942;27830;39604;3832;1411;60;44
1;677513;175781;423000;135322;42685;56092;32956;10553;44;56
1;1228829;289880;36415;25225;26378;90759;8917;5223;44;56
1;465163;325780;22375;9268;8272;10672;9985;3384;40;60
1;600220;18318;12312;2122;3202;4992;5748;1133;41;60
1;234129;222885;6176;25431;9137;9619;8413;2656;29;53
1;1785287;28336;12900;11653;1620;4420;3388;1674;30;40
1;1854057;493296;92086;28262;70352;41725;13806;7301;30;40
1;906243;164617;120706;117879;63930;234187;9189;6359;56;57
1;626761;31247;19358;9631;6032;6860;2182;986;56;57
1;1183911;277650;5085;35136;13252;12096;6589;776;43;40
1;92927;9289;1609;3983;1300;740;164;95;43;40
1;1023031;423978;43475;39318;26189;28546;52459;17896;47;43
1;780789;176025;30873;54609;46455;42463;7330;1296;51;35
1;1348835;47544;13727;5541;4463;4211;1153;530;51;35
1;155255;97386;69916;13639;10286;9430;17284;3620;30;38
1;614123;143715;42791;18395;22648;16996;2148;7160;38;50
1;799953;48785;6979;5288;8826;4383;1086;1309;41;50
1;1942676;349285;61769;63110;14436;49756;24880;40023;38;51
1;450915;204068;34791;41021;12902;16325;12864;4705;38;41
1;211981;19965;2296;1983;1538;497;868;407;26;37
1;66332;28807;6103;2321;1103;3707;4493;433;29;41
1;754576;349154;87212;63156;30843;16140;8051;2176;17;43
1;2323596;783726;88096;24596;27903;58563;83011;10007;20;30
1;2019897;113903;64766;45145;26240;12165;6115;6743;20;30
1;707466;37609;17619;3812;8572;15238;7024;2121;41;37
